,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,StatusCat96NK [A],StatusCat96NK [E],StatusCat96NK [F],StatusCat96NK [L],StatusCat96NK [N],StatusCat96NK [S],DemGender [F],DemGender [M],DemGender [U],DemHomeOwner [H],DemHomeOwner [U]
0,2,4,1,3,17.0,13.5,9.25,17.0,21,66,8,17,26,3,8,13,0,0,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,8,0,3,20.0,20.0,15.88,,26,92,14,35,79,5,5,24,0,23,67.0,186800.0,85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,6,41,3,20,6.0,5.17,3.73,5.0,18,111,12,23,51,5,11,22,1,0,,87600.0,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,3,12,3,8,10.0,8.67,8.5,8.67,9,93,14,22,44,2,6,16,1,0,,139200.0,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,15,13,4,7,6,0,35,53.0,168100.0,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,3,11,2,9,11.0,10.33,8.27,8.0,22,102,11,21,45,5,10,22,1,0,47.0,253100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,2,4,2,3,15.0,20.0,13.0,20.0,17,57,13,34,44,6,16,18,0,35,58.0,234700.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,1,4,0,3,15.0,15.0,11.5,,18,90,10,19,40,4,4,15,0,8,,207000.0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,1,3,0,1,35.0,35.0,28.33,,17,44,15,32,56,6,6,22,0,35,,137300.0,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,1,5,1,2,6.0,20.0,11.6,20.0,18,78,14,28,50,5,11,18,0,13,,180700.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,3,16,2,13,6.0,6.33,6.13,6.0,17,107,12,23,40,6,12,21,1,15,,143900.0,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
11,2,13,1,8,13.11,9.06,3.93,5.0,19,75,7,15,29,2,6,13,1,36,,134400.0,41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,1,1,0,0,20.0,20.0,20.0,,16,16,12,17,14,5,5,6,0,16,,68200.0,47,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,2,4,0,0,10.0,15.0,11.5,,5,32,15,33,30,6,6,13,0,17,39.0,115100.0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,2,2,1,1,20.0,12.5,12.5,5.0,18,27,11,23,19,5,11,9,0,24,50.0,0.0,33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,6,12,3,5,6.0,6.0,6.0,5.33,23,45,11,32,40,5,15,16,1,34,45.0,0.0,37,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
16,3,7,1,3,15.0,11.67,8.14,15.0,24,74,4,12,26,2,6,13,0,35,,207900.0,48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,7,15,3,8,5.0,5.29,5.67,5.67,17,93,12,30,58,6,15,22,1,39,,104400.0,35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,4,5,1,1,10.0,41.5,35.2,50.0,18,33,14,33,33,6,15,13,0,45,,70000.0,37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,4,9,3,7,7.0,5.5,5.22,5.67,21,44,6,14,19,2,6,8,1,18,,62500.0,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,1,20,1,8,25.0,36.0,26.95,36.0,18,105,21,39,101,6,17,30,1,53,80.0,51500.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,2,5,0,2,15.0,12.0,9.2,,18,57,4,12,19,2,2,10,0,12,,43200.0,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,3,21,2,14,8.0,7.67,6.57,7.5,22,105,5,13,42,2,6,19,1,0,61.0,237700.0,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23,1,1,1,1,15.0,15.0,15.0,15.0,19,19,7,11,10,2,4,4,0,14,47.0,218900.0,26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,3,15,0,5,20.0,13.33,10.07,,18,98,13,34,74,6,6,32,1,49,67.0,93800.0,33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
25,2,2,1,1,13.0,16.5,16.5,20.0,16,17,12,17,15,6,9,7,0,5,67.0,79600.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
26,1,1,1,1,20.0,20.0,20.0,20.0,16,16,5,8,8,2,4,4,0,0,53.0,78100.0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,2,14,2,6,14.0,10.0,9.93,10.0,4,64,30,50,103,6,16,24,1,37,76.0,169000.0,50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,5,11,3,7,15.0,10.2,8.64,10.33,4,53,6,14,21,1,5,8,1,34,,135400.0,15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,5,16,3,7,15.0,7.8,5.38,9.67,25,103,8,25,43,4,13,17,0,35,,123600.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,4,14,2,7,17.0,17.0,11.43,16.5,16,124,13,29,58,6,16,29,0,0,47.0,87500.0,44,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,3,5,3,4,15.0,16.33,15.8,16.33,9,41,23,39,44,9,16,17,0,25,50.0,192800.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32,2,2,1,1,45.0,32.5,32.5,20.0,18,19,15,21,17,6,9,7,0,25,,103100.0,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
33,5,7,4,5,5.0,4.8,4.29,3.5,16,41,15,32,32,6,14,13,1,12,,80000.0,37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,2,4,1,3,15.0,15.0,12.5,15.0,25,44,10,20,21,5,10,11,1,27,,81400.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,7,18,4,10,10.0,7.0,6.28,6.5,19,57,13,33,48,6,17,21,1,43,41.0,54900.0,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
36,2,12,1,6,12.0,11.0,6.08,12.0,20,112,15,34,69,6,14,28,0,36,67.0,52900.0,35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37,1,10,1,9,19.0,19.0,12.8,19.0,17,108,14,32,66,6,15,27,1,40,75.0,84900.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38,1,3,1,1,10.0,25.0,13.67,25.0,7,21,16,23,21,5,8,7,0,40,,84900.0,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,2,2,1,1,16.0,13.0,13.0,16.0,24,28,10,23,22,4,10,9,0,42,41.0,111700.0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,3,22,3,16,10.0,6.67,2.64,6.67,24,131,4,13,49,2,7,24,1,49,59.0,59500.0,23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,4,24,2,10,11.0,10.25,8.96,10.0,19,111,13,33,73,6,17,31,1,51,51.0,44400.0,33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
42,6,22,3,9,25.0,15.17,14.18,13.33,16,99,14,36,76,6,17,28,1,49,,59500.0,23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
43,1,1,0,0,20.0,20.0,20.0,,20,20,11,18,16,4,4,6,0,51,31.0,45400.0,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,1,1,1,1,25.0,25.0,25.0,25.0,21,21,10,17,15,4,7,6,0,40,,73000.0,36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
45,2,2,0,0,20.0,20.0,20.0,,16,20,12,18,17,5,5,6,0,49,54.0,54300.0,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46,2,16,2,12,15.0,15.0,11.31,15.0,19,122,13,33,76,6,16,33,1,43,47.0,50200.0,25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47,2,13,1,6,11.0,10.0,6.54,11.0,17,77,13,32,56,6,15,22,1,24,80.0,72300.0,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
48,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,16,5,8,7,0,22,51.0,107100.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,1,1,0,0,20.0,20.0,20.0,,19,19,10,14,12,4,4,4,0,29,75.0,65100.0,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,2,2,1,1,20.0,17.5,17.5,15.0,18,23,12,24,21,6,12,10,0,22,70.0,107100.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
51,2,2,1,1,15.0,10.0,10.0,5.0,18,29,10,23,21,4,9,8,0,28,59.0,45200.0,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52,1,13,0,6,20.0,20.0,10.23,,19,103,13,31,60,6,6,25,1,25,42.0,78200.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
53,6,44,2,10,10.0,19.0,15.48,19.0,5,187,29,51,118,11,22,38,0,0,,65000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
54,1,1,1,1,20.0,20.0,20.0,20.0,24,24,8,18,16,3,7,6,0,25,47.0,85900.0,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
55,3,18,3,13,10.0,9.0,4.85,9.0,17,125,13,28,68,6,13,27,1,43,53.0,47100.0,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
56,2,14,0,4,13.0,11.0,7.21,,21,86,12,30,59,5,5,23,1,49,,68300.0,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
57,2,3,1,1,20.0,16.0,14.0,20.0,24,44,11,28,33,6,13,13,0,44,65.0,68300.0,40,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
58,4,14,2,7,10.0,8.5,6.93,9.5,23,127,12,32,68,6,15,29,0,24,42.0,149700.0,40,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,2,12,2,12,10.0,12.5,9.0,12.5,16,100,4,12,35,2,6,18,1,22,81.0,72800.0,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60,2,2,0,0,16.0,13.0,13.0,,16,20,12,18,17,5,5,6,0,30,38.0,45600.0,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
61,1,3,0,2,20.0,20.0,9.33,,26,68,9,20,34,4,4,12,0,44,56.0,70700.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
62,2,3,0,1,20.0,16.0,14.0,,19,44,14,31,35,6,6,13,0,43,,53500.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
63,3,3,2,2,15.0,10.33,10.33,8.0,18,32,12,28,25,6,13,11,0,40,51.0,66200.0,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
64,8,21,6,12,9.0,7.25,9.24,7.67,4,75,25,46,88,11,21,32,1,27,,86000.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
65,4,9,1,2,5.0,6.25,5.78,5.0,18,52,12,32,40,6,15,16,0,41,69.0,46700.0,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
66,5,18,3,13,8.0,7.6,5.67,6.67,16,130,11,30,70,6,16,30,1,32,,43900.0,43,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
67,1,3,0,1,15.0,15.0,10.33,,17,52,10,23,27,4,4,12,0,5,59.0,105500.0,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
68,1,5,1,2,15.0,15.0,12.0,15.0,21,64,10,26,44,4,10,15,0,40,50.0,76900.0,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
69,2,2,2,2,25.0,14.0,14.0,14.0,23,33,14,30,28,6,13,11,0,34,52.0,124400.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
70,6,9,2,4,6.0,6.5,6.33,6.5,20,52,14,35,42,6,16,16,1,35,69.0,93000.0,31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71,2,2,0,0,20.0,15.0,15.0,,18,31,10,24,22,4,4,9,0,44,33.0,82200.0,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
72,4,15,3,10,5.0,5.0,5.33,5.0,17,105,12,27,62,4,11,22,1,41,73.0,86100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
73,5,16,2,8,4.0,4.2,3.69,4.5,16,124,13,32,62,6,15,27,1,41,70.0,42900.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74,2,2,2,2,20.0,20.0,20.0,20.0,23,29,10,20,19,4,9,8,0,36,67.0,40500.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75,2,13,1,6,20.0,17.5,10.54,15.0,26,116,10,32,62,5,16,30,1,40,,62800.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
76,2,4,1,3,15.0,12.0,9.0,15.0,24,56,10,28,39,5,12,14,0,43,,65100.0,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
77,1,18,0,10,20.0,20.0,10.06,,21,121,13,33,75,6,6,30,1,36,61.0,62500.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
