Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10648023,1,"Thursday, January 31, 2013 20:19:09 UTC",62.1827,-145.4998,1.7,10.40,12,"Central Alaska"
nn,00401418,9,"Thursday, January 31, 2013 20:13:00 UTC",37.3420,-116.9222,1.4,0.60,10,"Nevada"
nc,71932391,0,"Thursday, January 31, 2013 19:59:34 UTC",38.8353,-122.7833,1.4,2.40,22,"Northern California"
nc,71932361,0,"Thursday, January 31, 2013 19:34:40 UTC",40.9122,-122.4118,1.5,5.00, 6,"Northern California"
ak,10647994,1,"Thursday, January 31, 2013 19:27:56 UTC",61.3245,-151.5856,2.2,113.40,24,"Southern Alaska"
ak,10647965,1,"Thursday, January 31, 2013 18:22:30 UTC",62.7546,-150.5075,1.8,72.80,18,"Central Alaska"
ak,10647954,1,"Thursday, January 31, 2013 17:48:00 UTC",61.1027,-148.4998,1.2,120.00, 6,"Southern Alaska"
ci,15279569,0,"Thursday, January 31, 2013 17:23:32 UTC",33.3027,-116.1822,1.3,8.80,51,"Southern California"
ci,15279561,0,"Thursday, January 31, 2013 17:01:38 UTC",34.1533,-117.4342,1.6,0.00,19,"Greater Los Angeles area, California"
ci,15279545,0,"Thursday, January 31, 2013 16:38:43 UTC",34.9255,-118.3353,2.2,46.10,10,"Southern California"
ak,10647928,1,"Thursday, January 31, 2013 16:32:14 UTC",57.9708,-154.5448,2.4,57.20,12,"Kodiak Island region, Alaska"
us,c000ez7y,8,"Thursday, January 31, 2013 16:04:47 UTC",35.9827,139.7463,4.9,47.70,117,"near the south coast of Honshu, Japan"
ci,15279529,0,"Thursday, January 31, 2013 15:40:12 UTC",32.7440,-115.4325,1.7,2.80,19,"Southern California"
nc,71932266,3,"Thursday, January 31, 2013 15:15:46 UTC",35.7165,-121.0870,2.1,7.60,66,"Central California"
nc,71932256,0,"Thursday, January 31, 2013 15:08:07 UTC",35.9857,-120.5550,1.1,1.90,14,"Central California"
ci,15279521,0,"Thursday, January 31, 2013 14:54:15 UTC",32.9175,-116.2390,1.6,5.10,63,"Southern California"
us,c000ez7n,7,"Thursday, January 31, 2013 14:53:41 UTC",36.7675,140.4900,4.8,10.10,74,"near the east coast of Honshu, Japan"
nn,00401372,9,"Thursday, January 31, 2013 14:35:56 UTC",37.3785,-117.1373,1.1,8.90,12,"Nevada"
ak,10647983,2,"Thursday, January 31, 2013 14:26:12 UTC",51.9515,-174.6125,1.5,25.20, 7,"Andreanof Islands, Aleutian Islands, Alaska"
nm,013113a,A,"Thursday, January 31, 2013 14:24:09 UTC",36.2024,-89.5038,1.7,5.30,19,"Tennessee"
ci,15279513,0,"Thursday, January 31, 2013 14:10:35 UTC",33.8882,-115.9868,1.5,8.50,49,"Southern California"
ak,10647898,1,"Thursday, January 31, 2013 14:00:28 UTC",63.3435,-151.2547,2.4,8.60,27,"Central Alaska"
nc,71932216,0,"Thursday, January 31, 2013 13:46:13 UTC",37.5332,-118.8638,1.2,8.30,14,"Central California"
ak,10647889,1,"Thursday, January 31, 2013 13:43:35 UTC",61.9673,-145.0521,2.1,8.40,17,"Southern Alaska"
nc,71932206,0,"Thursday, January 31, 2013 13:17:15 UTC",36.0117,-120.5780,1.0,2.80,13,"Central California"
