,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
0,1.0,28.0,3.0,1.0,2.0,,,4.0,22.5,10.5,5.6,1.0,77.0,18.2,0.0,1.0,1.2,8.0,1592.1,19.1,11.8,105.0,2.5,0.25,0.0,0.01,0.5,0.01,0.0,0.25,0.0,1.0,1.0,155.0,5.0,46.0,1.0,,0.49,0.39,0
1,0.0,28.0,4.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,6.4,0.0,0.0,1.2,3.0,67.6,4.8,4.8,11.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,10.0,2.0,14.5,0.0,,0.4,0.44,0
2,0.0,41.0,,1.0,3.0,0.0,0.0,,23.8,9.5,5.9,0.0,9.0,6.0,,0.0,7.0,106.0,626.0,12.6,2.8,31.0,1.0,0.97,0.0,0.01,0.03,,0.0,0.25,0.0,,0.0,9.0,1.0,6.0,1.0,,1.0,1.0,0
3,1.0,50.0,4.0,1.0,2.0,0.0,1.0,3.0,49.2,35.3,,0.0,22.0,35.0,0.0,2.0,1.4,7.0,513.0,,3.8,96.0,1.4,0.57,0.5,0.07,0.42,,0.0,1.0,0.33,,0.0,22.0,1.0,35.0,1.0,,,1.0,0
4,1.0,31.0,5.0,2.0,2.0,0.0,0.0,6.0,,18.0,4.1,0.0,4.0,2.3,1.0,1.0,1.7,11.0,377.0,,2.8,,2.3,0.27,0.0,0.05,0.54,0.06,0.0,0.16,0.0,,0.0,5.0,,3.0,1.0,0.0,0.8,0.76,0
5,,63.0,,1.0,1.0,0.0,0.0,3.0,12.2,8.0,4.0,0.0,35.0,19.4,0.0,,3.3,22.0,797.9,11.9,5.9,40.0,1.4,0.77,0.0,0.01,0.13,0.01,0.0,0.66,0.0,,0.0,35.0,1.0,19.4,0.0,,1.0,,0
6,1.0,81.0,5.0,1.0,2.0,0.0,1.0,8.0,99.1,9.5,12.3,0.0,5.0,4.5,1.0,3.0,2.5,8.0,233.4,5.1,10.1,9.0,1.3,0.75,0.33,0.63,1.0,,0.0,,0.75,,,5.0,1.0,4.5,0.0,,1.0,1.0,0
7,0.0,46.0,3.0,2.0,1.0,0.0,1.0,4.0,28.8,21.5,7.2,0.0,5.0,0.9,0.0,2.0,1.8,7.0,190.6,16.2,5.6,18.0,2.0,0.42,0.5,0.15,0.57,0.15,,0.25,0.0,0.14,0.0,5.0,1.0,0.9,0.0,0.0,1.0,,0
8,1.0,43.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7,0.0,5.0,1.9,19.0,677.7,10.6,3.0,114.0,3.3,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,,3.0,,0.0,0.0,0.04,0.09,0
9,1.0,28.0,3.0,1.0,2.0,0.0,1.0,10.0,,17.5,4.5,0.0,19.0,6.4,1.0,,1.5,18.0,694.4,9.5,2.6,170.0,2.6,0.33,,0.07,0.55,0.06,0.0,0.1,,,0.0,83.0,6.0,19.0,1.0,0.0,0.22,0.33,0
