,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
81174,20000,20000.0,8.9,36.0,debt_consolidation,14.9,SC,MORTGAGE,6541.67,735.0,14.0,14272.0,2.0,0.0
99592,19200,19200.0,12.12,36.0,debt_consolidation,28.36,TX,MORTGAGE,4583.33,715.0,12.0,11140.0,1.0,2.0
80059,35000,35000.0,21.98,60.0,debt_consolidation,23.81,CA,MORTGAGE,11500.0,690.0,14.0,21977.0,1.0,2.0
15825,10000,9975.0,9.99,36.0,debt_consolidation,14.3,KS,MORTGAGE,3833.33,695.0,10.0,9346.0,0.0,5.0
33182,12000,12000.0,11.71,36.0,credit_card,18.78,NJ,RENT,3195.0,695.0,11.0,14469.0,0.0,9.0
62403,6000,6000.0,15.31,36.0,other,20.05,CT,OWN,4891.67,670.0,17.0,10391.0,2.0,3.0
48808,10000,10000.0,7.9,36.0,debt_consolidation,26.09,MA,RENT,2916.67,720.0,10.0,15957.0,0.0,10.0
22090,33500,33450.0,17.14,60.0,credit_card,14.7,LA,MORTGAGE,13863.42,705.0,12.0,27874.0,0.0,10.0
76404,14675,14675.0,14.33,36.0,credit_card,26.92,CA,RENT,3150.0,685.0,9.0,7246.0,1.0,8.0
15867,7000,7000.0,6.91,36.0,credit_card,7.1,CA,RENT,5000.0,715.0,8.0,7612.0,0.0,3.0
94971,2000,2000.0,19.72,36.0,moving,10.29,FL,RENT,3575.0,670.0,10.0,12036.0,0.0,6.0
36911,10625,10625.0,14.27,36.0,debt_consolidation,12.54,CA,MORTGAGE,4250.0,665.0,14.0,10767.0,0.0,0.0
41200,28000,27975.0,21.67,60.0,debt_consolidation,13.07,CT,MORTGAGE,14166.67,670.0,12.0,10311.0,0.0,1.0
83869,35000,34950.0,8.9,36.0,debt_consolidation,20.46,CT,RENT,9166.67,735.0,19.0,21536.0,0.0,1.0
53853,9600,9600.0,7.62,36.0,debt_consolidation,3.45,DC,RENT,11250.0,725.0,13.0,4606.0,0.0,0.0
21399,25000,24975.0,15.65,60.0,debt_consolidation,21.99,CA,RENT,5416.67,730.0,6.0,13929.0,0.0,9.0
62127,10000,10000.0,12.12,36.0,debt_consolidation,17.72,CA,RENT,9000.0,695.0,18.0,20317.0,0.0,7.0
23446,14000,13900.25,10.37,60.0,debt_consolidation,11.95,OH,RENT,4333.33,740.0,6.0,7419.0,0.0,9.0
44987,10000,10000.0,9.76,36.0,credit_card,7.13,FL,RENT,2733.33,730.0,7.0,6112.0,2.0,3.0
17977,5200,5175.0,9.99,60.0,debt_consolidation,10.29,AL,MORTGAGE,3750.0,760.0,10.0,16094.0,0.0,0.0
86099,22000,21975.0,21.98,36.0,debt_consolidation,11.19,TX,MORTGAGE,6666.67,665.0,9.0,23124.0,0.0,10.0
99483,30000,30000.0,19.05,60.0,credit_card,21.25,FL,MORTGAGE,6250.0,695.0,12.0,34927.0,0.0,6.0
